"filename", "language", "Python", "HTML", "Properties", "JavaScript", "CSS", "pip requirements", "comment", "blank", "total"
"/Users/dmytromalisevych/Desktop/Всі папки/Унік/Другий курс/Другий семестр/Конструювання програмного забезпечення/csw235/lab-6/voting_system/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 8, 0, 0, 8
"/Users/dmytromalisevych/Desktop/Всі папки/Унік/Другий курс/Другий семестр/Конструювання програмного забезпечення/csw235/lab-6/voting_system/src/.env", "Properties", 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Users/dmytromalisevych/Desktop/Всі папки/Унік/Другий курс/Другий семестр/Конструювання програмного забезпечення/csw235/lab-6/voting_system/src/__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/dmytromalisevych/Desktop/Всі папки/Унік/Другий курс/Другий семестр/Конструювання програмного забезпечення/csw235/lab-6/voting_system/src/auth.py", "Python", 61, 0, 0, 0, 0, 0, 0, 11, 72
"/Users/dmytromalisevych/Desktop/Всі папки/Унік/Другий курс/Другий семестр/Конструювання програмного забезпечення/csw235/lab-6/voting_system/src/config.py", "Python", 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/dmytromalisevych/Desktop/Всі папки/Унік/Другий курс/Другий семестр/Конструювання програмного забезпечення/csw235/lab-6/voting_system/src/database/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/dmytromalisevych/Desktop/Всі папки/Унік/Другий курс/Другий семестр/Конструювання програмного забезпечення/csw235/lab-6/voting_system/src/database/database.py", "Python", 44, 0, 0, 0, 0, 0, 0, 11, 55
"/Users/dmytromalisevych/Desktop/Всі папки/Унік/Другий курс/Другий семестр/Конструювання програмного забезпечення/csw235/lab-6/voting_system/src/database/models.py", "Python", 48, 0, 0, 0, 0, 0, 0, 13, 61
"/Users/dmytromalisevych/Desktop/Всі папки/Унік/Другий курс/Другий семестр/Конструювання програмного забезпечення/csw235/lab-6/voting_system/src/database/seed.py", "Python", 70, 0, 0, 0, 0, 0, 0, 12, 82
"/Users/dmytromalisevych/Desktop/Всі папки/Унік/Другий курс/Другий семестр/Конструювання програмного забезпечення/csw235/lab-6/voting_system/src/main.py", "Python", 656, 0, 0, 0, 0, 0, 0, 107, 763
